Service Name,Bind Services
vmsregistry-service-9.0.9-d0f3f7,|dcp-common
vmsconfig-service-9.0.12-cab48b,|VMS-RabbitMQ|dcp-common
vmszipkin-service-9.0.5-f06ba9,|VMS-RabbitMQ|dcp-common
e911provisioningresponse-service-12.0.13-ce4d42,|VMS-RabbitMQ|dcp-common
orionintegration-service-12.0.2-cabae6,|VMS-RabbitMQ|dcp-common
switchactivationprovisioningresponse-service-12.0.11-5a8f4d,|VMS-RabbitMQ|dcp-common
vmsuigateway-service-11.1.31-0bcf00,|VMS-RabbitMQ|dcp-proxy|dcp-common
activecore-gui-bus-13.0.32-9549c3,|VMS-RabbitMQ|dcp-common
centuryintegration-service-13.0.19-32e3b6,|VMS-RabbitMQ|dcp-common
clipsintegration-service-13.0.28-b426c2,|dcp-common|VMS-RabbitMQ
dcpdroolsengine-service-13.0.2-24f5c9,|VMS-RabbitMQ|dcp-common
designtool-service-13.0.45-1c2d06,|VMS-RabbitMQ|dcp-common
pdf-service-13.0.36-1c1a5b,|VMS-RabbitMQ|dcp-common
snapintegration-service-13.0.19-3741fb,|VMS-RabbitMQ|dcp-common
vmsproduct-service-13.0.35-34eea0,|VMS-RabbitMQ|dcp-common
vmssimplifiedamend-service-13.0.17-a3a50f,|VMS-RabbitMQ|dcp-common
vmsgateway-service-12.1.24-93cca9,|VMS-RabbitMQ|dcp-common
canceldesign-service-13.0.36-4dedb2,|VMS-RabbitMQ
cnamprovisioningrequest-service-13.0.15-18d350,|VMS-RabbitMQ
activecore-service-13.0.32-c6c86d,|VMS-RabbitMQ
cnamprovisioningresponse-service-13.0.19-a2b0f3,|VMS-RabbitMQ
compsprovisioning-service-13.0.18-281e04,|VMS-RabbitMQ|dcp-common
dadlprovisioningresponse-service-13.0.11-2930d5,|VMS-RabbitMQ
dadlprovisioning-service-13.0.12-682cae,|VMS-RabbitMQ
documentrequest-service-13.0.8-c3ccca,|VMS-RabbitMQ
documentresponse-service-13.0.12-e1247e,|VMS-RabbitMQ
documentsubmit-service-13.0.3-a3f1e1,|VMS-RabbitMQ
e911provisioningrequest-service-13.0.15-7e4ae0,|VMS-RabbitMQ
fallout-service-13.0.12-42f4b2,|VMS-RabbitMQ
importexport-service-13.0.28-728a46,|VMS-RabbitMQ
npacprovisioning-service-13.0.6-9b3da1,|VMS-RabbitMQ
orderpathprovisioningrequest-service-13.0.9-e6913f,|VMS-RabbitMQ
orderpathprovisioningresponse-service-13.0.14-c4386d,|VMS-RabbitMQ
provisioningonpnotification-service-13.0.26-dfbe6c,|VMS-RabbitMQ
servicedesign-service-13.0.17-279f63,|VMS-RabbitMQ
switchactivationprovisioning-service-13.0.11-1974fa,|VMS-RabbitMQ
switchprovisioningrequest-service-13.0.16-5fb8e1,|VMS-RabbitMQ|dcp-common
switchprovisioningresponse-service-13.0.18-c133bd,|VMS-RabbitMQ|dcp-common
tfprovisioningresponse-service-13.0.12-e96e1e,|VMS-RabbitMQ
tnactivationprovisioningresponse-service-13.0.17-e5a0f3,|VMS-RabbitMQ
tfprovisioning-service-13.0.13-772b38,|VMS-RabbitMQ
tnactivationprovisioning-service-13.0.21-1c285f,|VMS-RabbitMQ
tninventoryprovisioning-service-13.0.12-0d298e,|VMS-RabbitMQ
tninventory-service-13.0.20-f3f9ff,|VMS-RabbitMQ
vmsbveseat-service-13.0.16-7b20f3,|VMS-RabbitMQ
vmscompletedesign-service-13.0.16-70360d,|VMS-RabbitMQ
vmscustomer-service-13.0.29-706146,|VMS-RabbitMQ
vmsinfoprovisioning-service-13.0.17-d2db7a,|VMS-RabbitMQ
vmsinfo-service-13.0.13-95000a,|VMS-RabbitMQ
vmsinventory-service-13.0.17-45f7b2,|VMS-RabbitMQ
vmsline-service-13.0.24-097590,|VMS-RabbitMQ
vmsprovisioning-service-13.0.20-c70420,|VMS-RabbitMQ
voicecompleteprovisioning-service-13.0.9-284c8f,|VMS-RabbitMQ
vmsbvprovisioning-service-13.0.24-c87465,|VMS-RabbitMQ
vms-gui-bus-13.0.98-98b402,|VMS-RabbitMQ
vmsdata-service-13.0.80-036965,|VMS-RabbitMQ
tfaggregator-service-13.0.6-69064d,|VMS-RabbitMQ
tfrsobatch-service-13.0.2-e5d8e6,|VMS-RabbitMQ
tfrspbatch-service-13.0.4-a1524d,|VMS-RabbitMQ
tollfreebulkbatch-service-13.0.3-321d97,|VMS-RabbitMQ
tollfreedata-service-13.0.3-ed99c6,|VMS-RabbitMQ
tollfreesftprso-service-13.0.3-0cbddb,|VMS-RabbitMQ
tollfreesftprsp-service-13.0.5-f0490e,|VMS-RabbitMQ
dadlprovisioningneustar-service-13.0.4-290fed,|VMS-RabbitMQ|dcp-common
tollfreeprovisioning-service-13.0.11-e24ffe,|VMS-RabbitMQ
vmsdevice-service-13.0.34-e98911,|VMS-RabbitMQ
dadlcallbacknotification-service-13.0.16-d9159d,|VMS-RabbitMQ|dcp-common
audit-service-10.0.8-5c4999,|VMS-RabbitMQ
